client_id,birth_number,district_id,new_date,month,female,year,day
1,706213,18,1970-12-13,12,TRUE,1970,13
2,450204,1,1945-02-04,02,FALSE,1945,04
3,406009,1,1940-10-09,10,TRUE,1940,09
4,561201,5,1956-12-01,12,FALSE,1956,01
5,605703,5,1960-07-03,07,TRUE,1960,03
6,190922,12,1919-09-22,09,FALSE,1919,22
7,290125,15,1929-01-25,01,FALSE,1929,25
8,385221,51,1938-02-21,02,TRUE,1938,21
9,351016,60,1935-10-16,10,FALSE,1935,16
10,430501,57,1943-05-01,05,FALSE,1943,01
11,505822,57,1950-08-22,08,TRUE,1950,22
12,810220,40,1981-02-20,02,FALSE,1981,20
13,745529,54,1974-05-29,05,TRUE,1974,29
14,425622,76,1942-06-22,06,TRUE,1942,22
15,185828,21,1918-08-28,08,TRUE,1918,28
16,190225,21,1919-02-25,02,FALSE,1919,25
17,341013,76,1934-10-13,10,FALSE,1934,13
18,315405,76,1931-04-05,04,TRUE,1931,05
19,421228,47,1942-12-28,12,FALSE,1942,28
20,790104,46,1979-01-04,01,FALSE,1979,04
21,526029,12,1952-10-29,10,TRUE,1952,29
22,696011,1,1969-10-11,10,TRUE,1969,11
23,730529,1,1973-05-29,05,FALSE,1973,29
24,395729,43,1939-07-29,07,TRUE,1939,29
25,395423,21,1939-04-23,04,TRUE,1939,23
26,695420,74,1969-04-20,04,TRUE,1969,20
27,665326,54,1966-03-26,03,TRUE,1966,26
28,450929,1,1945-09-29,09,FALSE,1945,29
29,515911,30,1951-09-11,09,TRUE,1951,11
30,576009,74,1957-10-09,10,TRUE,1957,09
31,620209,68,1962-02-09,02,FALSE,1962,09
32,800728,52,1980-07-28,07,FALSE,1980,28
33,486204,73,1948-12-04,12,TRUE,1948,04
36,785717,7,1978-07-17,07,TRUE,1978,17
37,700810,7,1970-08-10,08,FALSE,1970,10
38,735723,36,1973-07-23,07,TRUE,1973,23
39,680125,68,1968-01-25,01,FALSE,1968,25
40,575122,5,1957-01-22,01,TRUE,1957,22
41,680827,22,1968-08-27,08,FALSE,1968,27
42,350817,68,1935-08-17,08,FALSE,1935,17
43,201028,75,1920-10-28,10,FALSE,1920,28
44,775111,38,1977-01-11,01,TRUE,1977,11
45,520826,20,1952-08-26,08,FALSE,1952,26
46,405130,19,1940-01-30,01,TRUE,1940,30
47,340714,76,1934-07-14,07,FALSE,1934,14
48,400209,16,1940-02-09,02,FALSE,1940,09
49,595511,72,1959-05-11,05,TRUE,1959,11
50,785730,39,1978-07-30,07,TRUE,1978,30
51,796202,36,1979-12-02,12,TRUE,1979,02
52,241212,32,1924-12-12,12,FALSE,1924,12
53,770505,64,1977-05-05,05,FALSE,1977,05
55,485918,45,1948-09-18,09,TRUE,1948,18
56,600331,21,1960-03-31,03,FALSE,1960,31
57,616217,21,1961-12-17,12,TRUE,1961,17
58,275429,1,1927-04-29,04,TRUE,1927,29
59,570218,1,1957-02-18,02,FALSE,1957,18
60,800219,67,1980-02-19,02,FALSE,1980,19
61,485806,16,1948-08-06,08,TRUE,1948,06
62,321208,77,1932-12-08,12,FALSE,1932,08
63,590604,4,1959-06-04,06,FALSE,1959,04
64,260422,20,1926-04-22,04,FALSE,1926,22
65,435527,50,1943-05-27,05,TRUE,1943,27
66,516110,1,1951-11-10,11,TRUE,1951,10
67,326111,29,1932-11-11,11,TRUE,1932,11
68,461214,43,1946-12-14,12,FALSE,1946,14
70,251222,70,1925-12-22,12,FALSE,1925,22
71,275206,70,1927-02-06,02,TRUE,1927,06
72,230113,47,1923-01-13,01,FALSE,1923,13
73,240220,22,1924-02-20,02,FALSE,1924,20
74,255726,22,1925-07-26,07,TRUE,1925,26
